sentence,class
If Charlie lives in Gereshk then Charlie lives in Helmand and If Charlie lives in Gereshk then Charlie lives in Afghanistan,2
If Charlie lives in Gereshk then Charlie lives in Helmand or If Charlie lives in Gereshk then Charlie lives in Afghanistan,3
If Charlie lives in Gereshk then Charlie lives in Afghanistan and If Charlie lives in Helmand then Charlie lives in Afghanistan,4
If Charlie lives in Gereshk then Charlie lives in Asia and If Charlie lives in Helmand then Charlie lives in Asia,4
If Charlie lives in Gereshk then Charlie lives in Afghanistan or If Charlie lives in Helmand then Charlie lives in Afghanistan,5
If Charlie lives in Gereshk then Charlie lives in Asia or If Charlie lives in Helmand then Charlie lives in Asia,5
If Ethan lives in Lashkar Gāh then Ethan lives in Helmand,1
If Ethan lives in Lashkar Gāh then Ethan lives in Afghanistan,1
If Ethan lives in Lashkar Gāh then Ethan lives in Asia,1
If Ethan lives in Helmand then Ethan lives in Afghanistan,1
If Ethan lives in Helmand then Ethan lives in Asia,1
If Ethan lives in Afghanistan then Ethan lives in Asia,1
If Ethan lives in Lashkar Gāh then Ethan lives in Helmand and If Ethan lives in Lashkar Gāh then Ethan lives in Afghanistan,2
If Ethan lives in Lashkar Gāh then Ethan lives in Helmand or If Ethan lives in Lashkar Gāh then Ethan lives in Afghanistan,3
If Ethan lives in Lashkar Gāh then Ethan lives in Afghanistan and If Ethan lives in Helmand then Ethan lives in Afghanistan,4
If Ethan lives in Lashkar Gāh then Ethan lives in Asia and If Ethan lives in Helmand then Ethan lives in Asia,4
If Ethan lives in Lashkar Gāh then Ethan lives in Afghanistan or If Ethan lives in Helmand then Ethan lives in Afghanistan,5
If Ethan lives in Lashkar Gāh then Ethan lives in Asia or If Ethan lives in Helmand then Ethan lives in Asia,5
If Quincy lives in Markaz-e Ḩukūmat-e Darwēshān then Quincy lives in Helmand,1
If Quincy lives in Markaz-e Ḩukūmat-e Darwēshān then Quincy lives in Afghanistan,1
If Quincy lives in Markaz-e Ḩukūmat-e Darwēshān then Quincy lives in Asia,1
If Quincy lives in Helmand then Quincy lives in Afghanistan,1
If Quincy lives in Helmand then Quincy lives in Asia,1
If Quincy lives in Afghanistan then Quincy lives in Asia,1
If Quincy lives in Markaz-e Ḩukūmat-e Darwēshān then Quincy lives in Helmand and If Quincy lives in Markaz-e Ḩukūmat-e Darwēshān then Quincy lives in Afghanistan,2
If Quincy lives in Markaz-e Ḩukūmat-e Darwēshān then Quincy lives in Helmand or If Quincy lives in Markaz-e Ḩukūmat-e Darwēshān then Quincy lives in Afghanistan,3
If Quincy lives in Markaz-e Ḩukūmat-e Darwēshān then Quincy lives in Afghanistan and If Quincy lives in Helmand then Quincy lives in Afghanistan,4
If Quincy lives in Markaz-e Ḩukūmat-e Darwēshān then Quincy lives in Asia and If Quincy lives in Helmand then Quincy lives in Asia,4
If Quincy lives in Markaz-e Ḩukūmat-e Darwēshān then Quincy lives in Afghanistan or If Quincy lives in Helmand then Quincy lives in Afghanistan,5
If Quincy lives in Markaz-e Ḩukūmat-e Darwēshān then Quincy lives in Asia or If Quincy lives in Helmand then Quincy lives in Asia,5
If Rachel lives in Sangīn then Rachel lives in Helmand,1
If Rachel lives in Sangīn then Rachel lives in Afghanistan,1
If Rachel lives in Sangīn then Rachel lives in Asia,1
If Rachel lives in Helmand then Rachel lives in Afghanistan,1
If Rachel lives in Helmand then Rachel lives in Asia,1
If Rachel lives in Afghanistan then Rachel lives in Asia,1
If Rachel lives in Sangīn then Rachel lives in Helmand and If Rachel lives in Sangīn then Rachel lives in Afghanistan,2
If Rachel lives in Sangīn then Rachel lives in Helmand or If Rachel lives in Sangīn then Rachel lives in Afghanistan,3
If Rachel lives in Sangīn then Rachel lives in Afghanistan and If Rachel lives in Helmand then Rachel lives in Afghanistan,4
If Rachel lives in Sangīn then Rachel lives in Asia and If Rachel lives in Helmand then Rachel lives in Asia,4
If Rachel lives in Sangīn then Rachel lives in Afghanistan or If Rachel lives in Helmand then Rachel lives in Afghanistan,5
If Rachel lives in Sangīn then Rachel lives in Asia or If Rachel lives in Helmand then Rachel lives in Asia,5
If Julia lives in Chahār Burj then Julia lives in Herat,1
If Julia lives in Chahār Burj then Julia lives in Afghanistan,1
If Julia lives in Chahār Burj then Julia lives in Asia,1
If Julia lives in Herat then Julia lives in Afghanistan,1
If Julia lives in Herat then Julia lives in Asia,1
If Julia lives in Afghanistan then Julia lives in Asia,1
If Julia lives in Chahār Burj then Julia lives in Herat and If Julia lives in Chahār Burj then Julia lives in Afghanistan,2
If Julia lives in Chahār Burj then Julia lives in Herat or If Julia lives in Chahār Burj then Julia lives in Afghanistan,3
If Julia lives in Chahār Burj then Julia lives in Afghanistan and If Julia lives in Herat then Julia lives in Afghanistan,4
If Julia lives in Chahār Burj then Julia lives in Asia and If Julia lives in Herat then Julia lives in Asia,4
If Julia lives in Chahār Burj then Julia lives in Afghanistan or If Julia lives in Herat then Julia lives in Afghanistan,5
If Julia lives in Chahār Burj then Julia lives in Asia or If Julia lives in Herat then Julia lives in Asia,5
If Xena lives in Ghōriyān then Xena lives in Herat,1
If Xena lives in Ghōriyān then Xena lives in Afghanistan,1
If Xena lives in Ghōriyān then Xena lives in Asia,1
If Xena lives in Herat then Xena lives in Afghanistan,1
If Xena lives in Herat then Xena lives in Asia,1
If Xena lives in Afghanistan then Xena lives in Asia,1
If Xena lives in Ghōriyān then Xena lives in Herat and If Xena lives in Ghōriyān then Xena lives in Afghanistan,2
If Xena lives in Ghōriyān then Xena lives in Herat or If Xena lives in Ghōriyān then Xena lives in Afghanistan,3
If Xena lives in Ghōriyān then Xena lives in Afghanistan and If Xena lives in Herat then Xena lives in Afghanistan,4
If Xena lives in Ghōriyān then Xena lives in Asia and If Xena lives in Herat then Xena lives in Asia,4
If Xena lives in Ghōriyān then Xena lives in Afghanistan or If Xena lives in Herat then Xena lives in Afghanistan,5
If Xena lives in Ghōriyān then Xena lives in Asia or If Xena lives in Herat then Xena lives in Asia,5
If Alice lives in Herāt then Alice lives in Herat,1
If Alice lives in Herāt then Alice lives in Afghanistan,1
If Alice lives in Herāt then Alice lives in Asia,1
If Alice lives in Herat then Alice lives in Afghanistan,1
If Alice lives in Herat then Alice lives in Asia,1
If Alice lives in Afghanistan then Alice lives in Asia,1
If Alice lives in Herāt then Alice lives in Herat and If Alice lives in Herāt then Alice lives in Afghanistan,2
If Alice lives in Herāt then Alice lives in Herat or If Alice lives in Herāt then Alice lives in Afghanistan,3
If Alice lives in Herāt then Alice lives in Afghanistan and If Alice lives in Herat then Alice lives in Afghanistan,4
If Alice lives in Herāt then Alice lives in Asia and If Alice lives in Herat then Alice lives in Asia,4
If Alice lives in Herāt then Alice lives in Afghanistan or If Alice lives in Herat then Alice lives in Afghanistan,5
If Alice lives in Herāt then Alice lives in Asia or If Alice lives in Herat then Alice lives in Asia,5
If Umar lives in Kafir Qala then Umar lives in Herat,1
If Umar lives in Kafir Qala then Umar lives in Afghanistan,1
If Umar lives in Kafir Qala then Umar lives in Asia,1
If Umar lives in Herat then Umar lives in Afghanistan,1
If Umar lives in Herat then Umar lives in Asia,1
If Umar lives in Afghanistan then Umar lives in Asia,1
If Umar lives in Kafir Qala then Umar lives in Herat and If Umar lives in Kafir Qala then Umar lives in Afghanistan,2
If Umar lives in Kafir Qala then Umar lives in Herat or If Umar lives in Kafir Qala then Umar lives in Afghanistan,3
If Umar lives in Kafir Qala then Umar lives in Afghanistan and If Umar lives in Herat then Umar lives in Afghanistan,4
If Umar lives in Kafir Qala then Umar lives in Asia and If Umar lives in Herat then Umar lives in Asia,4
If Umar lives in Kafir Qala then Umar lives in Afghanistan or If Umar lives in Herat then Umar lives in Afghanistan,5
If Umar lives in Kafir Qala then Umar lives in Asia or If Umar lives in Herat then Umar lives in Asia,5
If Rachel lives in Karukh then Rachel lives in Herat,1
If Rachel lives in Karukh then Rachel lives in Afghanistan,1
If Rachel lives in Karukh then Rachel lives in Asia,1
If Rachel lives in Herat then Rachel lives in Afghanistan,1
If Rachel lives in Herat then Rachel lives in Asia,1
If Rachel lives in Afghanistan then Rachel lives in Asia,1
If Rachel lives in Karukh then Rachel lives in Herat and If Rachel lives in Karukh then Rachel lives in Afghanistan,2
If Rachel lives in Karukh then Rachel lives in Herat or If Rachel lives in Karukh then Rachel lives in Afghanistan,3
If Rachel lives in Karukh then Rachel lives in Afghanistan and If Rachel lives in Herat then Rachel lives in Afghanistan,4
If Rachel lives in Karukh then Rachel lives in Asia and If Rachel lives in Herat then Rachel lives in Asia,4
If Rachel lives in Karukh then Rachel lives in Afghanistan or If Rachel lives in Herat then Rachel lives in Afghanistan,5
If Rachel lives in Karukh then Rachel lives in Asia or If Rachel lives in Herat then Rachel lives in Asia,5
If Umar lives in Kuhsān then Umar lives in Herat,1
If Umar lives in Kuhsān then Umar lives in Afghanistan,1
If Umar lives in Kuhsān then Umar lives in Asia,1
If Umar lives in Herat then Umar lives in Afghanistan,1
If Umar lives in Herat then Umar lives in Asia,1
If Umar lives in Afghanistan then Umar lives in Asia,1
If Umar lives in Kuhsān then Umar lives in Herat and If Umar lives in Kuhsān then Umar lives in Afghanistan,2
If Umar lives in Kuhsān then Umar lives in Herat or If Umar lives in Kuhsān then Umar lives in Afghanistan,3
If Umar lives in Kuhsān then Umar lives in Afghanistan and If Umar lives in Herat then Umar lives in Afghanistan,4
If Umar lives in Kuhsān then Umar lives in Asia and If Umar lives in Herat then Umar lives in Asia,4
If Umar lives in Kuhsān then Umar lives in Afghanistan or If Umar lives in Herat then Umar lives in Afghanistan,5
If Umar lives in Kuhsān then Umar lives in Asia or If Umar lives in Herat then Umar lives in Asia,5
If Xena lives in Kushk then Xena lives in Herat,1
If Xena lives in Kushk then Xena lives in Afghanistan,1
If Xena lives in Kushk then Xena lives in Asia,1
If Xena lives in Herat then Xena lives in Afghanistan,1
If Xena lives in Herat then Xena lives in Asia,1
If Xena lives in Afghanistan then Xena lives in Asia,1
If Xena lives in Kushk then Xena lives in Herat and If Xena lives in Kushk then Xena lives in Afghanistan,2
If Xena lives in Kushk then Xena lives in Herat or If Xena lives in Kushk then Xena lives in Afghanistan,3
If Xena lives in Kushk then Xena lives in Afghanistan and If Xena lives in Herat then Xena lives in Afghanistan,4
If Xena lives in Kushk then Xena lives in Asia and If Xena lives in Herat then Xena lives in Asia,4
If Xena lives in Kushk then Xena lives in Afghanistan or If Xena lives in Herat then Xena lives in Afghanistan,5
If Xena lives in Kushk then Xena lives in Asia or If Xena lives in Herat then Xena lives in Asia,5
If Walter lives in Qarah Bāgh then Walter lives in Herat,1
If Walter lives in Qarah Bāgh then Walter lives in Afghanistan,1
If Walter lives in Qarah Bāgh then Walter lives in Asia,1
If Walter lives in Herat then Walter lives in Afghanistan,1
If Walter lives in Herat then Walter lives in Asia,1
If Walter lives in Afghanistan then Walter lives in Asia,1
If Walter lives in Qarah Bāgh then Walter lives in Herat and If Walter lives in Qarah Bāgh then Walter lives in Afghanistan,2
If Walter lives in Qarah Bāgh then Walter lives in Herat or If Walter lives in Qarah Bāgh then Walter lives in Afghanistan,3
If Walter lives in Qarah Bāgh then Walter lives in Afghanistan and If Walter lives in Herat then Walter lives in Afghanistan,4
If Walter lives in Qarah Bāgh then Walter lives in Asia and If Walter lives in Herat then Walter lives in Asia,4
If Walter lives in Qarah Bāgh then Walter lives in Afghanistan or If Walter lives in Herat then Walter lives in Afghanistan,5
If Walter lives in Qarah Bāgh then Walter lives in Asia or If Walter lives in Herat then Walter lives in Asia,5
If Vera lives in Shīnḏanḏ then Vera lives in Herat,1
If Vera lives in Shīnḏanḏ then Vera lives in Afghanistan,1
If Vera lives in Shīnḏanḏ then Vera lives in Asia,1
If Vera lives in Herat then Vera lives in Afghanistan,1
If Vera lives in Herat then Vera lives in Asia,1
If Vera lives in Afghanistan then Vera lives in Asia,1
If Vera lives in Shīnḏanḏ then Vera lives in Herat and If Vera lives in Shīnḏanḏ then Vera lives in Afghanistan,2
If Vera lives in Shīnḏanḏ then Vera lives in Herat or If Vera lives in Shīnḏanḏ then Vera lives in Afghanistan,3
If Vera lives in Shīnḏanḏ then Vera lives in Afghanistan and If Vera lives in Herat then Vera lives in Afghanistan,4
If Vera lives in Shīnḏanḏ then Vera lives in Asia and If Vera lives in Herat then Vera lives in Asia,4
If Vera lives in Shīnḏanḏ then Vera lives in Afghanistan or If Vera lives in Herat then Vera lives in Afghanistan,5
If Vera lives in Shīnḏanḏ then Vera lives in Asia or If Vera lives in Herat then Vera lives in Asia,5
If Kevin lives in Tīr Pul then Kevin lives in Herat,1
If Kevin lives in Tīr Pul then Kevin lives in Afghanistan,1
If Kevin lives in Tīr Pul then Kevin lives in Asia,1
If Kevin lives in Herat then Kevin lives in Afghanistan,1
If Kevin lives in Herat then Kevin lives in Asia,1
If Kevin lives in Afghanistan then Kevin lives in Asia,1
If Kevin lives in Tīr Pul then Kevin lives in Herat and If Kevin lives in Tīr Pul then Kevin lives in Afghanistan,2
If Kevin lives in Tīr Pul then Kevin lives in Herat or If Kevin lives in Tīr Pul then Kevin lives in Afghanistan,3
If Kevin lives in Tīr Pul then Kevin lives in Afghanistan and If Kevin lives in Herat then Kevin lives in Afghanistan,4
If Kevin lives in Tīr Pul then Kevin lives in Asia and If Kevin lives in Herat then Kevin lives in Asia,4
If Kevin lives in Tīr Pul then Kevin lives in Afghanistan or If Kevin lives in Herat then Kevin lives in Afghanistan,5
If Kevin lives in Tīr Pul then Kevin lives in Asia or If Kevin lives in Herat then Kevin lives in Asia,5
If George lives in Zindah Jān then George lives in Herat,1
If George lives in Zindah Jān then George lives in Afghanistan,1
If George lives in Zindah Jān then George lives in Asia,1
If George lives in Herat then George lives in Afghanistan,1
If George lives in Herat then George lives in Asia,1
If George lives in Afghanistan then George lives in Asia,1
If George lives in Zindah Jān then George lives in Herat and If George lives in Zindah Jān then George lives in Afghanistan,2
If George lives in Zindah Jān then George lives in Herat or If George lives in Zindah Jān then George lives in Afghanistan,3
If George lives in Zindah Jān then George lives in Afghanistan and If George lives in Herat then George lives in Afghanistan,4
If George lives in Zindah Jān then George lives in Asia and If George lives in Herat then George lives in Asia,4
If George lives in Zindah Jān then George lives in Afghanistan or If George lives in Herat then George lives in Afghanistan,5
If George lives in Zindah Jān then George lives in Asia or If George lives in Herat then George lives in Asia,5
If Diana lives in Āqchah then Diana lives in Jowzjan,1
If Diana lives in Āqchah then Diana lives in Afghanistan,1
If Diana lives in Āqchah then Diana lives in Asia,1
If Diana lives in Jowzjan then Diana lives in Afghanistan,1
If Diana lives in Jowzjan then Diana lives in Asia,1
If Diana lives in Afghanistan then Diana lives in Asia,1
If Diana lives in Āqchah then Diana lives in Jowzjan and If Diana lives in Āqchah then Diana lives in Afghanistan,2
If Diana lives in Āqchah then Diana lives in Jowzjan or If Diana lives in Āqchah then Diana lives in Afghanistan,3
If Diana lives in Āqchah then Diana lives in Afghanistan and If Diana lives in Jowzjan then Diana lives in Afghanistan,4
If Diana lives in Āqchah then Diana lives in Asia and If Diana lives in Jowzjan then Diana lives in Asia,4
If Diana lives in Āqchah then Diana lives in Afghanistan or If Diana lives in Jowzjan then Diana lives in Afghanistan,5
If Diana lives in Āqchah then Diana lives in Asia or If Diana lives in Jowzjan then Diana lives in Asia,5
If Bob lives in Darzāb then Bob lives in Jowzjan,1
If Bob lives in Darzāb then Bob lives in Afghanistan,1
If Bob lives in Darzāb then Bob lives in Asia,1
If Bob lives in Jowzjan then Bob lives in Afghanistan,1
If Bob lives in Jowzjan then Bob lives in Asia,1
If Bob lives in Afghanistan then Bob lives in Asia,1
If Bob lives in Darzāb then Bob lives in Jowzjan and If Bob lives in Darzāb then Bob lives in Afghanistan,2
If Bob lives in Darzāb then Bob lives in Jowzjan or If Bob lives in Darzāb then Bob lives in Afghanistan,3
If Bob lives in Darzāb then Bob lives in Afghanistan and If Bob lives in Jowzjan then Bob lives in Afghanistan,4
If Bob lives in Darzāb then Bob lives in Asia and If Bob lives in Jowzjan then Bob lives in Asia,4
If Bob lives in Darzāb then Bob lives in Afghanistan or If Bob lives in Jowzjan then Bob lives in Afghanistan,5
If Bob lives in Darzāb then Bob lives in Asia or If Bob lives in Jowzjan then Bob lives in Asia,5
If Ethan lives in Qarqīn then Ethan lives in Jowzjan,1
If Ethan lives in Qarqīn then Ethan lives in Afghanistan,1
If Ethan lives in Qarqīn then Ethan lives in Asia,1
If Ethan lives in Jowzjan then Ethan lives in Afghanistan,1
If Ethan lives in Jowzjan then Ethan lives in Asia,1
If Ethan lives in Afghanistan then Ethan lives in Asia,1
If Ethan lives in Qarqīn then Ethan lives in Jowzjan and If Ethan lives in Qarqīn then Ethan lives in Afghanistan,2
If Ethan lives in Qarqīn then Ethan lives in Jowzjan or If Ethan lives in Qarqīn then Ethan lives in Afghanistan,3
If Ethan lives in Qarqīn then Ethan lives in Afghanistan and If Ethan lives in Jowzjan then Ethan lives in Afghanistan,4
If Ethan lives in Qarqīn then Ethan lives in Asia and If Ethan lives in Jowzjan then Ethan lives in Asia,4
If Ethan lives in Qarqīn then Ethan lives in Afghanistan or If Ethan lives in Jowzjan then Ethan lives in Afghanistan,5
If Ethan lives in Qarqīn then Ethan lives in Asia or If Ethan lives in Jowzjan then Ethan lives in Asia,5
If Yara lives in Shibirghān then Yara lives in Jowzjan,1
If Yara lives in Shibirghān then Yara lives in Afghanistan,1
If Yara lives in Shibirghān then Yara lives in Asia,1
If Yara lives in Jowzjan then Yara lives in Afghanistan,1
If Yara lives in Jowzjan then Yara lives in Asia,1
If Yara lives in Afghanistan then Yara lives in Asia,1
If Yara lives in Shibirghān then Yara lives in Jowzjan and If Yara lives in Shibirghān then Yara lives in Afghanistan,2
If Yara lives in Shibirghān then Yara lives in Jowzjan or If Yara lives in Shibirghān then Yara lives in Afghanistan,3
If Yara lives in Shibirghān then Yara lives in Afghanistan and If Yara lives in Jowzjan then Yara lives in Afghanistan,4
If Yara lives in Shibirghān then Yara lives in Asia and If Yara lives in Jowzjan then Yara lives in Asia,4
If Yara lives in Shibirghān then Yara lives in Afghanistan or If Yara lives in Jowzjan then Yara lives in Afghanistan,5
If Yara lives in Shibirghān then Yara lives in Asia or If Yara lives in Jowzjan then Yara lives in Asia,5
If Mason lives in Kabul then Mason lives in Kabul,1
If Mason lives in Kabul then Mason lives in Afghanistan,1
If Mason lives in Kabul then Mason lives in Asia,1
If Mason lives in Kabul then Mason lives in Afghanistan,1
If Mason lives in Kabul then Mason lives in Asia,1
If Mason lives in Afghanistan then Mason lives in Asia,1
If Mason lives in Kabul then Mason lives in Kabul and If Mason lives in Kabul then Mason lives in Afghanistan,2
If Mason lives in Kabul then Mason lives in Kabul or If Mason lives in Kabul then Mason lives in Afghanistan,3
If Mason lives in Kabul then Mason lives in Afghanistan and If Mason lives in Kabul then Mason lives in Afghanistan,4
If Mason lives in Kabul then Mason lives in Asia and If Mason lives in Kabul then Mason lives in Asia,4
If Mason lives in Kabul then Mason lives in Afghanistan or If Mason lives in Kabul then Mason lives in Afghanistan,5
If Mason lives in Kabul then Mason lives in Asia or If Mason lives in Kabul then Mason lives in Asia,5
If Oscar lives in Mīr Bachah Kōṯ then Oscar lives in Kabul,1
If Oscar lives in Mīr Bachah Kōṯ then Oscar lives in Afghanistan,1
If Oscar lives in Mīr Bachah Kōṯ then Oscar lives in Asia,1
If Oscar lives in Kabul then Oscar lives in Afghanistan,1
If Oscar lives in Kabul then Oscar lives in Asia,1
If Oscar lives in Afghanistan then Oscar lives in Asia,1
If Oscar lives in Mīr Bachah Kōṯ then Oscar lives in Kabul and If Oscar lives in Mīr Bachah Kōṯ then Oscar lives in Afghanistan,2
If Oscar lives in Mīr Bachah Kōṯ then Oscar lives in Kabul or If Oscar lives in Mīr Bachah Kōṯ then Oscar lives in Afghanistan,3
If Oscar lives in Mīr Bachah Kōṯ then Oscar lives in Afghanistan and If Oscar lives in Kabul then Oscar lives in Afghanistan,4
If Oscar lives in Mīr Bachah Kōṯ then Oscar lives in Asia and If Oscar lives in Kabul then Oscar lives in Asia,4
If Oscar lives in Mīr Bachah Kōṯ then Oscar lives in Afghanistan or If Oscar lives in Kabul then Oscar lives in Afghanistan,5
If Oscar lives in Mīr Bachah Kōṯ then Oscar lives in Asia or If Oscar lives in Kabul then Oscar lives in Asia,5
If Tina lives in Paghmān then Tina lives in Kabul,1
If Tina lives in Paghmān then Tina lives in Afghanistan,1
If Tina lives in Paghmān then Tina lives in Asia,1
If Tina lives in Kabul then Tina lives in Afghanistan,1
If Tina lives in Kabul then Tina lives in Asia,1
If Tina lives in Afghanistan then Tina lives in Asia,1
If Tina lives in Paghmān then Tina lives in Kabul and If Tina lives in Paghmān then Tina lives in Afghanistan,2
If Tina lives in Paghmān then Tina lives in Kabul or If Tina lives in Paghmān then Tina lives in Afghanistan,3
If Tina lives in Paghmān then Tina lives in Afghanistan and If Tina lives in Kabul then Tina lives in Afghanistan,4
If Tina lives in Paghmān then Tina lives in Asia and If Tina lives in Kabul then Tina lives in Asia,4
If Tina lives in Paghmān then Tina lives in Afghanistan or If Tina lives in Kabul then Tina lives in Afghanistan,5
If Tina lives in Paghmān then Tina lives in Asia or If Tina lives in Kabul then Tina lives in Asia,5
If Lily lives in Kandahār then Lily lives in Kandahar,1
If Lily lives in Kandahār then Lily lives in Afghanistan,1
If Lily lives in Kandahār then Lily lives in Asia,1
If Lily lives in Kandahar then Lily lives in Afghanistan,1
If Lily lives in Kandahar then Lily lives in Asia,1
If Lily lives in Afghanistan then Lily lives in Asia,1
If Lily lives in Kandahār then Lily lives in Kandahar and If Lily lives in Kandahār then Lily lives in Afghanistan,2
If Lily lives in Kandahār then Lily lives in Kandahar or If Lily lives in Kandahār then Lily lives in Afghanistan,3
If Lily lives in Kandahār then Lily lives in Afghanistan and If Lily lives in Kandahar then Lily lives in Afghanistan,4
If Lily lives in Kandahār then Lily lives in Asia and If Lily lives in Kandahar then Lily lives in Asia,4
If Lily lives in Kandahār then Lily lives in Afghanistan or If Lily lives in Kandahar then Lily lives in Afghanistan,5
If Lily lives in Kandahār then Lily lives in Asia or If Lily lives in Kandahar then Lily lives in Asia,5
If Ethan lives in Sidqābād then Ethan lives in Kapisa,1
If Ethan lives in Sidqābād then Ethan lives in Afghanistan,1
If Ethan lives in Sidqābād then Ethan lives in Asia,1
If Ethan lives in Kapisa then Ethan lives in Afghanistan,1
If Ethan lives in Kapisa then Ethan lives in Asia,1
If Ethan lives in Afghanistan then Ethan lives in Asia,1
If Ethan lives in Sidqābād then Ethan lives in Kapisa and If Ethan lives in Sidqābād then Ethan lives in Afghanistan,2
If Ethan lives in Sidqābād then Ethan lives in Kapisa or If Ethan lives in Sidqābād then Ethan lives in Afghanistan,3
If Ethan lives in Sidqābād then Ethan lives in Afghanistan and If Ethan lives in Kapisa then Ethan lives in Afghanistan,4
If Ethan lives in Sidqābād then Ethan lives in Asia and If Ethan lives in Kapisa then Ethan lives in Asia,4
If Ethan lives in Sidqābād then Ethan lives in Afghanistan or If Ethan lives in Kapisa then Ethan lives in Afghanistan,5
If Ethan lives in Sidqābād then Ethan lives in Asia or If Ethan lives in Kapisa then Ethan lives in Asia,5
If Fiona lives in Khōst then Fiona lives in Khost,1
If Fiona lives in Khōst then Fiona lives in Afghanistan,1
If Fiona lives in Khōst then Fiona lives in Asia,1
If Fiona lives in Khost then Fiona lives in Afghanistan,1
If Fiona lives in Khost then Fiona lives in Asia,1
If Fiona lives in Afghanistan then Fiona lives in Asia,1
If Fiona lives in Khōst then Fiona lives in Khost and If Fiona lives in Khōst then Fiona lives in Afghanistan,2
If Fiona lives in Khōst then Fiona lives in Khost or If Fiona lives in Khōst then Fiona lives in Afghanistan,3
If Fiona lives in Khōst then Fiona lives in Afghanistan and If Fiona lives in Khost then Fiona lives in Afghanistan,4
If Fiona lives in Khōst then Fiona lives in Asia and If Fiona lives in Khost then Fiona lives in Asia,4
If Fiona lives in Khōst then Fiona lives in Afghanistan or If Fiona lives in Khost then Fiona lives in Afghanistan,5
If Fiona lives in Khōst then Fiona lives in Asia or If Fiona lives in Khost then Fiona lives in Asia,5
If Walter lives in Asadabad then Walter lives in Kunar,1
If Walter lives in Asadabad then Walter lives in Afghanistan,1
If Walter lives in Asadabad then Walter lives in Asia,1
If Walter lives in Kunar then Walter lives in Afghanistan,1
If Walter lives in Kunar then Walter lives in Asia,1
If Walter lives in Afghanistan then Walter lives in Asia,1
If Walter lives in Asadabad then Walter lives in Kunar and If Walter lives in Asadabad then Walter lives in Afghanistan,2
If Walter lives in Asadabad then Walter lives in Kunar or If Walter lives in Asadabad then Walter lives in Afghanistan,3
If Walter lives in Asadabad then Walter lives in Afghanistan and If Walter lives in Kunar then Walter lives in Afghanistan,4
If Walter lives in Asadabad then Walter lives in Asia and If Walter lives in Kunar then Walter lives in Asia,4
If Walter lives in Asadabad then Walter lives in Afghanistan or If Walter lives in Kunar then Walter lives in Afghanistan,5
If Walter lives in Asadabad then Walter lives in Asia or If Walter lives in Kunar then Walter lives in Asia,5
If George lives in Āsmār then George lives in Kunar,1
If George lives in Āsmār then George lives in Afghanistan,1
If George lives in Āsmār then George lives in Asia,1
If George lives in Kunar then George lives in Afghanistan,1
If George lives in Kunar then George lives in Asia,1
If George lives in Afghanistan then George lives in Asia,1
If George lives in Āsmār then George lives in Kunar and If George lives in Āsmār then George lives in Afghanistan,2
If George lives in Āsmār then George lives in Kunar or If George lives in Āsmār then George lives in Afghanistan,3
If George lives in Āsmār then George lives in Afghanistan and If George lives in Kunar then George lives in Afghanistan,4
If George lives in Āsmār then George lives in Asia and If George lives in Kunar then George lives in Asia,4
If George lives in Āsmār then George lives in Afghanistan or If George lives in Kunar then George lives in Afghanistan,5
If George lives in Āsmār then George lives in Asia or If George lives in Kunar then George lives in Asia,5
If Xena lives in Dasht-e Archī then Xena lives in Kunduz Province,1
If Xena lives in Dasht-e Archī then Xena lives in Afghanistan,1
If Xena lives in Dasht-e Archī then Xena lives in Asia,1
If Xena lives in Kunduz Province then Xena lives in Afghanistan,1
If Xena lives in Kunduz Province then Xena lives in Asia,1
If Xena lives in Afghanistan then Xena lives in Asia,1
If Xena lives in Dasht-e Archī then Xena lives in Kunduz Province and If Xena lives in Dasht-e Archī then Xena lives in Afghanistan,2
If Xena lives in Dasht-e Archī then Xena lives in Kunduz Province or If Xena lives in Dasht-e Archī then Xena lives in Afghanistan,3
If Xena lives in Dasht-e Archī then Xena lives in Afghanistan and If Xena lives in Kunduz Province then Xena lives in Afghanistan,4
If Xena lives in Dasht-e Archī then Xena lives in Asia and If Xena lives in Kunduz Province then Xena lives in Asia,4
If Xena lives in Dasht-e Archī then Xena lives in Afghanistan or If Xena lives in Kunduz Province then Xena lives in Afghanistan,5
If Xena lives in Dasht-e Archī then Xena lives in Asia or If Xena lives in Kunduz Province then Xena lives in Asia,5
If Ethan lives in Imām Şāḩib then Ethan lives in Kunduz Province,1
If Ethan lives in Imām Şāḩib then Ethan lives in Afghanistan,1
If Ethan lives in Imām Şāḩib then Ethan lives in Asia,1
If Ethan lives in Kunduz Province then Ethan lives in Afghanistan,1
If Ethan lives in Kunduz Province then Ethan lives in Asia,1
If Ethan lives in Afghanistan then Ethan lives in Asia,1
If Ethan lives in Imām Şāḩib then Ethan lives in Kunduz Province and If Ethan lives in Imām Şāḩib then Ethan lives in Afghanistan,2
If Ethan lives in Imām Şāḩib then Ethan lives in Kunduz Province or If Ethan lives in Imām Şāḩib then Ethan lives in Afghanistan,3
If Ethan lives in Imām Şāḩib then Ethan lives in Afghanistan and If Ethan lives in Kunduz Province then Ethan lives in Afghanistan,4
If Ethan lives in Imām Şāḩib then Ethan lives in Asia and If Ethan lives in Kunduz Province then Ethan lives in Asia,4
